,id_fifa,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating,goles
434,231410,Brayann Pereira,2,NEC Nijmegen,Ned,21,11,822,0.1,0.8,0.9,2.3,0.0,1.5,1.3,0.01,-0.01,0.0,1,0.01,7.12,0
435,231410,Braydon Manu,10,PEC Zwolle,Ned,27,1,55,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0,0.0,5.93,0
436,258983,Breel Embolo,10,Monaco,Fra,27,9,586,2.3,1.0,0.7,1.6,0.3,1.8,3.0,4.91,-3.91,0.75,21,0.23,6.5,1
437,239580,Bremer,2,Juventus,Ita,27,6,540,0.5,0.0,0.5,0.8,0.0,0.3,0.7,0.13,-0.13,0.02,3,0.04,7.35,0
438,258983,Brendan Chardonnet,2,Brest,Fra,29,9,810,0.6,0.1,0.0,0.4,0.0,0.0,0.0,0.16,-0.16,0.02,5,0.03,6.52,0
439,258983,Brennan Johnson,10,Tottenham,Ing,23,11,871,3.0,0.8,0.5,0.5,0.4,0.6,1.2,5.18,-1.18,0.53,33,0.16,7.0,4
440,258983,Brenner,10,Udinese,Ita,24,8,384,0.9,0.6,0.4,0.6,0.0,1.1,0.6,0.51,0.49,0.12,7,0.07,6.61,1
441,200424,Brian Brobbey,10,Ajax,Ned,22,10,454,1.7,0.7,0.3,1.6,0.2,0.8,1.3,4.74,-4.74,0.94,17,0.28,6.33,0
442,200424,Brian De Keersmaecker,2,Heracles,Ned,24,11,984,0.9,1.0,1.0,1.2,0.0,0.5,1.7,2.05,0.95,0.19,10,0.2,6.96,3
443,228326,Brian Oliván,2,Mallorca,Esp,30,28,2189,0.7,0.7,0.3,0.3,0.1,0.3,0.6,1.6,-0.6,0.07,20,0.08,6.43,1
444,200424,Brice Samba,0,Lens,Fra,30,11,990,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.87,0
445,200424,Bright Arrey-Mbi,2,Braga,Por,21,5,416,0.2,0.2,0.4,0.2,0.0,0.2,0.6,0.03,-0.03,0.01,1,0.03,6.58,0
446,258570,Brooke Norton-Cuffy,5,Genoa,Ita,20,3,99,0.7,0.3,0.0,0.0,0.0,0.3,0.3,0.15,-0.15,0.14,2,0.08,6.1,0
447,211368,Bruma,5,Braga,Por,30,9,519,1.7,1.2,3.3,0.6,0.7,0.4,1.1,2.48,0.52,0.43,15,0.17,7.37,3
448,237670,Bruno Almeida,5,Santa Clara,Por,28,3,55,0.7,0.0,0.0,0.0,0.0,0.0,1.3,0.1,-0.1,0.17,2,0.05,5.96,0
449,237670,Bruno Brígido,0,Estrela da Amadora,Por,33,11,946,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,6.26,0
450,244960,Bruno Costa,5,Nacional,Por,27,6,186,0.0,1.7,0.7,1.5,0.0,0.3,0.3,0.0,0.0,0.0,0,0.0,6.29,0
451,212198,Bruno Fernandes,10,Man Utd,Ing,30,11,931,3.1,2.0,0.7,1.2,0.1,1.2,1.5,4.13,-2.13,0.4,34,0.12,7.09,2
452,237670,Bruno Gaspar,5,Vitoria de Guimaraes,Por,31,9,768,0.3,1.1,0.0,1.0,0.1,0.2,1.0,0.08,-0.08,0.01,3,0.03,6.51,0
453,237670,Bruno Guimarães,2,Newcastle,Ing,26,11,982,1.3,0.6,1.5,4.1,0.0,2.9,1.5,0.58,-0.58,0.05,14,0.04,6.83,0
